City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Ulaanbaatar,MN,47.9077,106.8832,42.93,52,0,6.71,clear sky
168,Khandbari,NP,27.3747,87.2039,67.14,85,48,0.92,scattered clouds
169,Tiksi,RU,71.6872,128.8694,29.95,88,100,5.61,overcast clouds
170,Bagdarin,RU,54.4333,113.6,40.46,74,58,4.54,broken clouds
171,Beringovskiy,RU,63.05,179.3167,37.87,83,99,8.19,overcast clouds
172,Ulladulla,AU,-35.35,150.4667,54.5,82,100,7.7,light rain
173,Barcelos,PT,41.5388,-8.6151,70.92,82,89,6.67,overcast clouds
174,Meulaboh,ID,4.1363,96.1285,78.28,85,100,1.88,overcast clouds
175,Necochea,AR,-38.5473,-58.7368,61.86,45,99,13.51,overcast clouds
176,Dubbo,AU,-32.25,148.6167,48.33,87,40,8.05,scattered clouds
177,La Ronge,CA,55.1001,-105.2842,61.05,18,40,11.5,scattered clouds
178,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,69,75,16.11,broken clouds
179,New Norfolk,AU,-42.7826,147.0587,49.91,82,99,2.42,overcast clouds
180,Dunedin,NZ,-45.8742,170.5036,46.8,71,100,8.01,overcast clouds
181,Bosaso,SO,11.2842,49.1816,89.33,44,99,4.61,overcast clouds
182,Bluff,NZ,-46.6,168.3333,49.89,69,91,22.44,overcast clouds
183,Coolum Beach,AU,-26.5333,153.1,64.35,98,97,12.03,light rain
184,Kaabong,UG,3.4836,34.1492,66.9,78,100,4.92,overcast clouds
185,Manta,EC,-0.95,-80.7333,82.18,74,20,13.8,few clouds
186,Taoudenni,ML,22.6783,-3.9836,105.91,6,0,14.16,clear sky
187,Carnarvon,AU,-24.8667,113.6333,71.58,64,98,17.05,overcast clouds
188,Deputatskiy,RU,69.3,139.9,18.72,99,80,4.29,broken clouds
189,Nipawin,CA,53.3668,-104.0009,60.84,23,0,14.97,clear sky
190,Berlevag,NO,70.8578,29.0864,44.55,70,100,6.91,overcast clouds
191,Isangel,VU,-19.55,169.2667,76.12,85,79,7.92,broken clouds
192,Rocha,UY,-34.4833,-54.3333,65.71,48,2,4.65,clear sky
193,Sar-E Pul,AF,35.8333,66.1667,47.07,75,83,0.4,broken clouds
194,Port-Cartier,CA,50.0334,-66.8654,55.74,66,98,8.23,overcast clouds
195,Camacha,PT,33.0833,-16.3333,65.62,64,20,12.66,few clouds
196,Venado Tuerto,AR,-33.7456,-61.9688,67.77,38,82,13.78,broken clouds
197,Mayya,RU,61.7333,130.2811,45.72,80,38,4.85,scattered clouds
198,Bayir,TR,37.2687,28.2167,68.52,49,4,2.55,clear sky
199,Mwene-Ditu,CD,-7.0,23.45,69.3,83,100,4.74,light rain
200,Sitka,US,57.0531,-135.33,56.86,51,57,3.09,broken clouds
201,Lavrentiya,RU,65.5833,-171.0,37.99,70,100,8.28,overcast clouds
202,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,40,10.36,scattered clouds
203,Pangnirtung,CA,66.1451,-65.7125,35.6,60,75,4.61,broken clouds
204,Tuy Hoa,VN,13.0833,109.3,79.57,82,100,10.2,overcast clouds
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,75,4.47,broken clouds
206,Ostrovnoy,RU,68.0531,39.5131,32.07,74,7,12.46,clear sky
207,Oum Hadjer,TD,13.2954,19.6966,98.74,10,49,5.77,scattered clouds
208,Mahebourg,MU,-20.4081,57.7,75.49,73,40,10.36,scattered clouds
209,Senador Jose Porfirio,BR,-2.5908,-51.9542,84.85,57,10,1.99,clear sky
210,Maragogi,BR,-9.0122,-35.2225,80.44,77,22,15.5,few clouds
211,Adeje,ES,28.1227,-16.726,76.21,60,20,21.85,few clouds
212,Kalmunai,LK,7.4167,81.8167,82.36,69,21,6.4,few clouds
213,Kyshtovka,RU,56.555,76.6271,49.91,87,100,8.81,light rain
214,Ostersund,SE,63.1792,14.6357,59.45,29,0,4.61,clear sky
215,Bubaque,GW,11.2833,-15.8333,78.84,73,93,15.19,overcast clouds
216,Mount Gambier,AU,-37.8333,140.7667,39.11,93,100,0.0,fog
217,Semey,KZ,50.4111,80.2275,60.55,48,97,14.61,overcast clouds
218,Along,IN,28.1667,94.7667,69.64,97,54,1.48,broken clouds
219,Kuhdasht,IR,33.535,47.6061,76.87,17,0,8.48,clear sky
220,Narsaq,GL,60.9167,-46.05,36.03,99,100,6.42,moderate rain
221,Pevek,RU,69.7008,170.3133,34.36,88,29,11.34,scattered clouds
222,Karaman,TR,37.0833,33.25,58.59,58,86,2.91,light rain
223,Beyla,GN,8.6833,-8.6333,80.74,60,96,2.95,overcast clouds
224,Fortuna,US,40.5982,-124.1573,51.66,95,100,9.22,overcast clouds
225,Uray,RU,60.1247,64.7758,38.98,91,100,9.89,overcast clouds
226,Tecoanapa,MX,16.5167,-98.75,84.02,60,26,8.23,scattered clouds
227,Piacabucu,BR,-10.4056,-36.4344,81.57,64,30,13.02,scattered clouds
228,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,45,11.52,scattered clouds
229,Santa Cruz Cabralia,BR,-16.2781,-39.0247,71.83,78,75,9.22,broken clouds
230,Tromso,NO,69.6496,18.957,51.82,66,75,5.75,light rain
231,Wajid,SO,3.8093,43.2471,85.33,46,89,12.12,overcast clouds
232,Tuatapere,NZ,-46.1333,167.6833,44.29,83,90,9.31,overcast clouds
233,Tasiilaq,GL,65.6145,-37.6368,36.14,93,100,4.38,overcast clouds
234,Margate,GB,51.3813,1.3862,67.3,74,58,4.0,broken clouds
235,Seoul,KR,37.5683,126.9778,62.2,88,40,3.44,mist
236,Khilok,RU,51.3674,110.4676,52.92,65,41,2.13,scattered clouds
237,Alghero,IT,40.5589,8.3181,82.49,34,0,4.61,clear sky
238,Iberia,US,29.9502,-91.7507,82.36,94,100,11.5,moderate rain
239,Kloulklubed,PW,7.0419,134.2556,82.99,74,98,6.93,overcast clouds
240,San Nicolas,PH,18.1725,120.5953,80.26,82,100,3.83,overcast clouds
241,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,100,10.36,overcast clouds
242,Kavaratti,IN,10.5669,72.642,83.62,80,100,17.94,overcast clouds
243,Nanortalik,GL,60.1432,-45.2371,38.5,97,100,13.04,light rain
244,Okakarara,NA,-20.5833,17.4333,56.23,32,1,4.29,clear sky
245,Makinsk,KZ,52.6292,70.4169,45.25,67,28,15.41,scattered clouds
246,Bandarbeyla,SO,9.4942,50.8122,80.92,84,64,20.13,broken clouds
247,Boissevain,CA,49.2306,-100.0559,56.64,46,12,7.09,few clouds
248,Farmington,US,36.7281,-108.2187,71.78,27,89,5.99,overcast clouds
249,Mzimba,MW,-11.9,33.6,64.53,82,76,4.47,broken clouds
250,Murmino,RU,54.6036,40.0544,44.31,60,67,12.37,broken clouds
251,Aranda De Duero,ES,41.6704,-3.6892,70.9,48,64,12.44,broken clouds
252,General Roca,AR,-39.0333,-67.5833,64.44,19,100,18.61,light rain
253,Aksarka,RU,66.5606,67.7975,33.33,91,100,26.51,overcast clouds
254,Zhigansk,RU,66.7697,123.3711,34.81,85,49,5.55,scattered clouds
255,Peniche,PT,39.3558,-9.3811,66.07,90,98,14.2,overcast clouds
256,Shar,KZ,49.5886,81.0453,59.54,57,92,7.47,overcast clouds
257,Norman Wells,CA,65.282,-126.8329,41.04,87,75,3.44,broken clouds
258,Artyom,AZ,40.4723,50.333,62.74,81,24,19.17,few clouds
259,Caboolture,AU,-27.0833,152.95,61.9,96,99,5.64,overcast clouds
260,Kununurra,AU,-15.7667,128.7333,60.78,82,97,0.0,overcast clouds
261,Cayenne,GF,4.9333,-52.3333,85.08,3,40,10.36,scattered clouds
262,Lebu,CL,-37.6167,-73.65,53.69,93,100,9.04,overcast clouds
263,Manzhouli,CN,49.6,117.4333,56.35,51,34,9.33,scattered clouds
264,Palanga,LT,55.9175,21.0686,50.02,81,0,6.91,light rain
265,Sirvintos,LT,55.05,24.95,54.12,73,100,8.57,overcast clouds
266,Wagar,SD,16.1525,36.2032,101.8,19,52,3.29,broken clouds
267,Ati,TD,13.2154,18.3353,99.37,10,92,10.29,overcast clouds
268,Heidelberg,ZA,-26.5048,28.3592,52.95,73,69,5.77,broken clouds
269,Mashhad,IR,36.297,59.6062,62.74,48,0,9.22,clear sky
270,Kutum,SD,14.2,24.6667,85.33,14,98,9.06,overcast clouds
271,Buin,CL,-33.7333,-70.75,71.87,38,100,3.83,overcast clouds
272,Ginir,ET,7.1333,40.7,63.61,56,74,2.91,light rain
273,Salyan,AZ,39.5936,48.9805,63.52,74,43,10.67,scattered clouds
274,Gayny,RU,60.3071,54.3241,33.75,99,100,4.9,light snow
