City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
403,Laredo,US,70.09,overcast clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
404,Carutapera,BR,82.92,few clouds,-1.195,-46.02,Lidera
406,Arawa,PG,75.81,scattered clouds,-6.2132,155.5367,Coastline Guest House
407,Cozumel,MX,87.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
409,Taiobeiras,BR,80.78,clear sky,-15.8078,-42.2331,Dallas Hotel
414,Tabou,CI,77.38,overcast clouds,4.423,-7.3528,hotêl doufoulougou
415,Ukiah,US,76.44,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
418,Nong Phai,TH,74.97,overcast clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
419,Bull Savanna,JM,83.89,overcast clouds,17.8868,-77.5902,Big Red's
421,Bambanglipuro,ID,77.88,overcast clouds,-7.95,110.2833,Puri Brata
424,Crotone,IT,80.19,broken clouds,39.0851,17.1178,Helios Hotel
426,Japura,ID,74.64,few clouds,-0.3167,102.35,Rumah mbah Jamah
427,Balabac,PH,80.78,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
428,Soyo,AO,77.14,broken clouds,-6.1349,12.3689,Hotel Mpampa
432,Fare,PF,80.47,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
433,Basco,PH,81.5,broken clouds,20.4487,121.9702,Nathaniel's Lodge
435,Bonthe,SL,82.24,moderate rain,7.5264,-12.505,Bonthe Holiday Village
436,Paonta Sahib,IN,78.08,scattered clouds,30.45,77.6167,OYO 37501 The Brighton Hotel
441,Bumba,CD,79.14,overcast clouds,2.1833,22.4667,Père Carlos
446,Grand Gaube,MU,75.6,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
447,Ponta Do Sol,PT,75.0,few clouds,32.6667,-17.1,Hotel do Campo
448,Harper,LR,78.31,overcast clouds,4.375,-7.7169,Screensaver
452,Pringsewu,ID,73.72,overcast clouds,-5.3582,104.9744,Urban Style by Front One
454,Puerto Baquerizo Moreno,EC,74.39,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
455,Tarakan,ID,78.69,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
456,Cerignola,IT,78.93,clear sky,41.264,15.9005,Hotel Veronese
460,Sorong,ID,76.87,light rain,-0.8833,131.25,Waigo Splash Hotel
461,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
463,Horsham,GB,72.25,clear sky,51.064,-0.3272,Springfields Hotel
467,Musoma,TZ,75.22,few clouds,-1.5,33.8,New Peninsula Hotel
468,Lakatoro,VU,78.13,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
